Instance_number,COLLISION_CLASSIFICATION,X,Y,Cluster
328,'P.D. only',351052.4688,5018433,cluster2
329,'P.D. only',368453.0625,5030398,cluster1
330,'P.D. only',370258.3125,5033169,cluster1
331,'P.D. only',365570.1563,5026876,cluster3
332,'P.D. only',360526.6875,5023306.5,cluster3
333,'P.D. only',368325.0625,5028859,cluster1
334,'P.D. only',369223,5030775,cluster1
335,'P.D. only',330807.5313,5037669,cluster2
336,'P.D. only',367763.3438,5031809,cluster1
337,'P.D. only',376029.7188,5035099.5,cluster4
338,'P.D. only',363086.9688,5016734.5,cluster0
339,'P.D. only',360320.875,5023137,cluster3
340,'P.D. only',365050.7188,5013483.5,cluster0
341,'P.D. only',366804.5313,5030380,cluster1
342,'P.D. only',372729.875,5029325,cluster1
343,'P.D. only',367360.25,5030613,cluster1
344,'P.D. only',370539.2188,5033337.5,cluster1
345,'P.D. only',368293.3438,5032395,cluster1
346,'P.D. only',319021.125,5026785.5,cluster2
347,'P.D. only',366951.3125,5031063,cluster1
348,'P.D. only',369042.125,5028765,cluster1
349,'P.D. only',365053.8125,5025326,cluster3
350,'P.D. only',365203.9688,5025426.5,cluster3
351,'P.D. only',382761.0625,5038891.5,cluster4
352,'P.D. only',379860.75,5036474.5,cluster4
353,'P.D. only',363663.375,5027285.5,cluster3
354,Injury,373365.625,5029430.5,cluster1
355,'P.D. only',363590.9063,5028304,cluster3
356,Injury,367401.5625,5030251.5,cluster1
357,'P.D. only',365916.0938,5029406,cluster1
358,'P.D. only',360529.1875,5023311.5,cluster3
359,'P.D. only',381525.875,5038377,cluster4
360,'P.D. only',363461.5938,5014766,cluster0
361,'P.D. only',366596.3125,5030256,cluster1
362,'P.D. only',368205.3438,5032347,cluster1
363,'P.D. only',373100.625,5030003.5,cluster1
364,'P.D. only',365238.4063,5021733,cluster3
365,'P.D. only',356970.7188,5013082.5,cluster0
366,'P.D. only',352509.5625,5017527,cluster2
367,'P.D. only',379799.9063,5033785,cluster4
368,'P.D. only',373605.1563,5031952.5,cluster1
369,'P.D. only',362895.2813,5026438.5,cluster3
370,'P.D. only',381784.0938,5035166.5,cluster4
371,'P.D. only',366165.7813,5026028,cluster3
372,'P.D. only',362272.8125,5024469.5,cluster3
