Instance_number,DATE,TIME,Road_type,ENVIRONMENT,LIGHT,SURFACE_CONDITION,TRAFFIC_CONTROL,COLLISION_CLASSIFICATION,IMPACT_TYPE,Location,NO_OF_PEDESTRIANS,Cluster
11331,Weekday,Night,Road,'02 - Rain','05 - Dusk','02 - Wet','10 - No control','P.D. only','07 - SMV other',Ottawa_south,0,cluster5
11339,Weekday,Night,Road,'01 - Clear','01 - Daylight','02 - Wet','01 - Traffic signal',Injury,'07 - SMV other',mid_town,1,cluster5
11344,Weekday,Night,Road,'01 - Clear','05 - Dusk','05 - Packed snow','01 - Traffic signal','P.D. only','99 - Other',mid_town,0,cluster5
11350,Weekday,Night,Road,'02 - Rain','07 - Dark','02 - Wet','01 - Traffic signal','P.D. only','03 - Rear end',mid_town,0,cluster5
11368,Weekends,Night,Road,'02 - Rain','05 - Dusk','02 - Wet','01 - Traffic signal','P.D. only','05 - Turning movement',downtown,0,cluster5
11372,Weekends,Night,Road,'01 - Clear','07 - Dark','02 - Wet','01 - Traffic signal','P.D. only','02 - Angle',downtown,0,cluster5
11377,Weekends,Night,Road,'02 - Rain','01 - Daylight','02 - Wet','01 - Traffic signal','P.D. only','05 - Turning movement',mid_town,0,cluster5
11380,Weekday,Afternoon,Road,'03 - Snow','01 - Daylight','02 - Wet','01 - Traffic signal',Injury,'02 - Angle',downtown,0,cluster5
11389,Weekday,Evening,Road,'02 - Rain','01 - Daylight','02 - Wet','02 - Stop sign',Injury,'07 - SMV other',downtown,1,cluster5
11397,Weekday,Night,Road,'02 - Rain','01 - Daylight','02 - Wet','02 - Stop sign',Injury,'01 - Approaching',Ottawa_west,0,cluster5
11399,Weekday,Night,Road,'02 - Rain','01 - Daylight','02 - Wet','01 - Traffic signal','P.D. only','03 - Rear end',mid_town,0,cluster5
11401,Weekday,Night,Road,'02 - Rain','05 - Dusk','02 - Wet','01 - Traffic signal','P.D. only','07 - SMV other',mid_town,0,cluster5
11402,Weekday,Night,Road,'06 - Strong wind','01 - Daylight','02 - Wet','01 - Traffic signal','P.D. only','04 - Sideswipe',mid_town,0,cluster5
11406,Weekday,Night,Road,'02 - Rain','07 - Dark','02 - Wet','02 - Stop sign','P.D. only','02 - Angle',Ottawa_south,0,cluster5
11407,Weekday,Night,Road,'02 - Rain','05 - Dusk','02 - Wet','02 - Stop sign',Injury,'07 - SMV other',downtown,1,cluster5
11408,Weekday,Night,Road,'02 - Rain','01 - Daylight','02 - Wet','01 - Traffic signal','P.D. only','05 - Turning movement',Ottawa_east,0,cluster5
11410,Weekday,Night,Road,'02 - Rain','05 - Dusk','02 - Wet','01 - Traffic signal','P.D. only','03 - Rear end',mid_town,0,cluster5
11411,Weekday,Night,Road,'02 - Rain','07 - Dark','02 - Wet','10 - No control','P.D. only','07 - SMV other',Ottawa_south,0,cluster5
11412,Weekday,Night,Road,'02 - Rain','07 - Dark','02 - Wet','01 - Traffic signal','P.D. only','03 - Rear end',Ottawa_west,0,cluster5
11431,Weekday,Night,Road,'01 - Clear','01 - Daylight','02 - Wet','02 - Stop sign','P.D. only','05 - Turning movement',Ottawa_east,0,cluster5
11443,Weekday,Noon,Road,'01 - Clear','01 - Daylight','02 - Wet','01 - Traffic signal','P.D. only','05 - Turning movement',downtown,0,cluster5
11463,Weekday,Night,Road,'01 - Clear','01 - Daylight','02 - Wet','01 - Traffic signal','P.D. only','05 - Turning movement',Ottawa_west,0,cluster5
11484,Weekday,Early_Morning,Road,'02 - Rain','07 - Dark','02 - Wet','10 - No control','P.D. only','07 - SMV other',downtown,0,cluster5
11524,Weekday,Noon,Road,'01 - Clear','01 - Daylight','01 - Dry','01 - Traffic signal',Injury,'07 - SMV other',downtown,1,cluster5
11541,Weekday,Evening,Road,'01 - Clear','01 - Daylight','01 - Dry','01 - Traffic signal','P.D. only','07 - SMV other',downtown,0,cluster5
